fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,9,3,.00025441381,.0016058774,.0038581803,.0046333401,.10890068,.39688101,.12912199,.26831031,.086688563,0,0,0,0,0,0,0,38.344624,24.936277,45.392429
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,10,3,.00019704786,.0012422346,.0016038826,.0038533877,.0046275845,.10876541,.39638802,.12896161,.26797703,.08658088,0,0,0,0,0,0,27.303028,7.9569521,37.892456
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,11,3,.000031362928,.00019767995,.001241989,.0016035655,.0038526258,.0046266699,.10874391,.39630964,.12893611,.26792404,.086563766,0,0,0,0,0,24.349209,1.9301109,37.000206
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,12,3,0,0,.00019767995,.001241989,.0016035655,.0038526258,.0046266699,.10874391,.39630964,.12893611,.26792404,.086563766,0,0,0,0,24.202723,.55985969,42.126049
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,1,3,0,0,0,.00019767995,.001241989,.0016035655,.0038526258,.0046266699,.10874391,.39630964,.12893611,.26792404,.086563766,0,0,0,24.087772,.17422397,43.430191
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,2,3,0,0,0,0,.00019767995,.001241989,.0016035655,.0038526258,.0046266699,.10874391,.39630964,.12893611,.26792404,.086563766,0,0,24.039419,.081866801,43.446926
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,3,3,0,0,0,0,0,.00019767995,.001241989,.0016035655,.0038526258,.0046266699,.10874391,.39630964,.12893611,.26792404,.086563766,0,24.005318,.018982174,43.464268
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,2,4,.0024139602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,3,4,.016716331,.87381476,.12618522,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
